pc0,pc1,pc2,pc3,source,tweet
0.21433048411,0.212187293738,0.2872780565,-0.0601927622947,bot,Informe sobre Tanhuato corrobora uso de tortura: Martnez Neri
0.21433048411,0.212187293722,0.28727805647,-0.0601927608917,bot,Informe sobre Tanhuato corrobora uso de tortura: Martnez Neri
0.519666910794,-0.0111561409945,0.157558741864,0.015264203138,bot,Informe sobre Tanhuato corrobora uso de tortura: Martnez Neri https://t.co/6nG9wCDx6w
0.497503557201,-0.0362432079916,-0.00599700710919,-0.131345962605,bot,Se Vuelve Tendencia Nacional En Redes Tras Informe De CNDH https://t.co/u8DFQ9hVsC
0.088369868895,0.0921864582078,0.192329087921,0.0811588237173,bot,"""Tanhuato"" was a trending topic in Mexico at rank 10 for duration 1h:45m ."
0.519666910794,-0.0111561409921,0.157558741867,0.0152642029041,bot,Informe sobre Tanhuato corrobora uso de tortura: Martnez Neri https://t.co/2ZCFTrI0Ge
0.526279048988,0.0624077714321,0.0953432074744,0.169004605067,bot,Confirma CNDH que Polica Federal ejecut a 22 en Tanhuato Michoacn https://t.co/FB3uQlxDDd
0.698260108678,-0.407321463257,-0.190514720699,0.140795114897,bot,https://t.co/K466ZctXSS RT https://t.co/cIS3jFyWL4
0.390026101306,-0.198350762131,-0.0614061816195,0.053781127916,bot,#Reformenlareforma y resolvamos civilizadamente este tema por favor. https://t.co/IuwvYnFNdC
0.21433048411,0.21218729372,0.287278056468,-0.0601927606691,bot,Informe sobre Tanhuato corrobora uso de tortura: Martnez Neri
0.519666910794,-0.0111561409946,0.157558741864,0.0152642032235,bot,Informe sobre Tanhuato corrobora uso de tortura: Martnez Neri https://t.co/nBDQASxxBO
0.692560849217,-0.259273396406,0.0375278051246,0.193210977592,bot,Muy triste: Tanhuato: ejecuciones extrajudiciales  https://t.co/w40LmwEcJA https://t.co/6Ln71yTaTN
0.54223199627,-0.0249422960176,0.152887853122,0.0836861649068,bot,Defiende CNDH a criminales que atacaron a PF en Tanhuato https://t.co/JTNqm2lJaj
0.419716150052,0.0188089190959,0.0385449692442,0.157054732714,bot,Polica Federal tuvo 4 hrs para manipular escena Tanhuato: CNDH. Con Ciro Gmez Leyva https://t.co/ajgWVX7PdU
0.453167505937,0.100062841781,0.0340719238754,0.0184984217632,bot,CNDH no tuvo elementos tcnicos para determinar cmo perdieron la vida 15 personas en Tanhuato: visitador. Con Ric https://t.co/GP7N3EAOm1
0.574287953964,0.0444250616293,0.287891060326,0.0106792514799,bot,No se puede hablar de ejecuciones extrajudiciales en Tanhuato: Renato Sales https://t.co/ghdA25bZpR
0.517679668092,-0.302298744326,-0.141526471241,0.104633749362,bot,WTF q pedooo!!!! https://t.co/EjfatXR3LW
0.655283611692,-0.364903334042,-0.160967088226,0.137658692072,bot,"Se los dijo., https://t.co/fr4uIXP5ag https://t.co/41sC3LpaeW"
0.769744368974,-0.0664912514637,-0.0494672032601,0.0770095472099,bot,Segn la CNDH qu pas en #Tanhuato? https://t.co/E6FEhXDU2o https://t.co/xtoOCGqNq1
0.818460269204,-0.179436241719,-0.098300132959,0.104135399751,bot,Segn la CNDH qu pas en #Tanhuato? https://t.co/d33gjzrB4w https://t.co/6KYyUVB4bs https://t.co/WulUWyjs3x
0.571456615687,-0.0129751419253,0.175434418108,0.0205770052622,bot,#EnPortada Cuestiona Segob el informe de Tanhuato https://t.co/4fcOe2TODQ
0.284721781638,0.353388698709,0.137669117694,-0.0530205727358,bot,#TitularesDelDa #PrimerasPlanas    #FelizViernes: La PF asesin a 22 en Tanhuato: CNDH
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.406254123485,-0.260411632746,-0.122413331081,0.1031944588,bot, CLICK HERE! &gt;&gt; https://t.co/xSZMCGUKs7
0.632859010081,0.195876997946,0.0724033319044,-0.103074409083,bot,La PF ejecut de manera arbitraria a 22 civiles en Tanhuato: CNDH https://t.co/EtVb3AkQvS
0.278649831206,0.250053246506,0.347106521774,-0.0532198116778,bot,"""PF ejecut de manera arbitraria a 22 civiles en Tanhuato"""
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.00681197370851,-0.0111034558894,-0.0056888949847,0.00732582477566,bot,#DestitucionyJuicioaGalindo autor intelectual
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.0,0.0,0.0,0.0,bot,
0.453303474162,-0.282611703606,-0.132477836339,0.108243910834,bot, GO TO LINK! -&gt; https://t.co/FXEfkzII0Z
0.721424851125,-0.111093805969,0.166074748639,0.0596776843728,bot,No se puede hablar de ejecuciones extrajudiciales en Tanhuato: Renato Sales https://t.co/YEBPRAZCf9 https://t.co/xg891WUpUF
0.471813392783,0.129193580396,0.0747481187381,-0.0295243631795,bot,Hola. Hoy 19 de agosto mi 1er. com. es que la PF ejecut sin justificacin a 22 en Tanhuato: https://t.co/AH8stlplTa Asesinato masivo!
